Transcript_8,gi|157168325|ref|NM_138652.2|,Transcript_8,NM_138652.2,100.000,3954,0,0,1,3954,1,3954,0.0,7302
Transcript_8,gi|80474801|gb|BC109011.1|,Transcript_8,BC109011.1,100.000,3649,0,0,1,3649,1,3649,0.0,6739
Transcript_8,gi|133777379|gb|BC109010.1|,Transcript_8,BC109010.1,99.890,3649,2,1,1,3649,1,3647,0.0,6715
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,659,0,0,3293,3951,71728,71070,0.0,1218
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,273,0,0,999,1271,86435,86163,3.56e-140,505
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,222,0,0,1,222,94553,94332,7.98e-112,411
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,206,0,0,430,635,88848,88643,6.26e-103,381
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,199,0,0,1270,1468,85194,84996,4.87e-99,368
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,198,0,0,1711,1908,81341,81144,1.75e-98,366
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,179,0,0,1906,2084,79674,79496,6.39e-88,331
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,174,0,0,2368,2541,75557,75384,3.85e-85,322
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,157,0,0,2538,2694,75297,75141,1.09e-75,291
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,154,0,0,2218,2371,77126,76973,5.05e-74,285
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,152,0,0,222,373,93673,93522,6.53e-73,281
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,147,0,0,2818,2964,73510,73364,3.93e-70,272
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,140,0,0,745,884,87045,86906,3.06e-66,259
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,139,0,0,2081,2219,78860,78722,1.10e-65,257
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,137,0,0,1577,1713,83485,83349,1.42e-64,254
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,135,0,0,2964,3098,72774,72640,1.84e-63,250
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,126,0,0,2695,2820,73828,73703,1.85e-58,233
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,97.744,133,2,1,883,1014,86778,86646,8.63e-57,228
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,114,0,0,634,747,87882,87769,8.69e-52,211
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,110,0,0,1469,1578,84861,84752,1.45e-49,204
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,106,0,0,3096,3201,72474,72369,2.43e-47,196
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,96,0,0,3198,3293,71984,71889,8.81e-42,178
Transcript_8,gi|109943584|emb|CT009601.13|,Transcript_8,CT009601.13,100.000,62,0,0,372,433,91239,91178,7.01e-23,115
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,659,0,0,3293,3951,66211,66869,0.0,1218
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,273,0,0,999,1271,51504,51776,3.56e-140,505
Transcript_8,gi|21699235|gb|AC021630.11|,Transcript_8,AC021630.11,100.000,222,0,0,1,222,43386,43607,7.98e-112,411
